Metric,Point,CI_low,CI_high
AUROC (95% CI) ↑,0.6862987327200644,0.6746771004476534,0.6985562535467857
AUPRC (95% CI) ↑,0.004894655743487416,0.004513586588625361,0.005362988085209842
Sensitivity (95% CI) ↑,0.8300180831826401,0.8138368689412061,0.8460869944254508
Specificity (95% CI) ↑,0.3661651934882101,0.36535510115472913,0.36694593105909734
PPV (95% CI) ↑,0.0025936745983759866,0.0024737735375914183,0.0027172020396489084
NPV (95% CI) ↑,0.9990790047372469,0.9989843611190826,0.9991758513597345
Brier Score ↓,0.0019753534804527522,,
Calibration Slope → 1,-0.00686983144991411,,
Calibration Intercept → 0,-6.200091533426644,,
ECE ↓,0.00013717702332491157,,
Prevalence,0.0019818479926173474,,
