Metric,Point,CI_low,CI_high
AUROC (95% CI) ↑,0.7754893272353118,0.764063788782975,0.7865805602140461
AUPRC (95% CI) ↑,0.01693267002605552,0.014505121310703667,0.020674307992890037
Sensitivity (95% CI) ↑,0.8250746268656717,0.8063803089512177,0.8435764340033116
Specificity (95% CI) ↑,0.5577801104143894,0.5563499239219104,0.5590902716586909
PPV (95% CI) ↑,0.006128412865232565,0.005813070156440344,0.006447820065178014
NPV (95% CI) ↑,0.9989646130904002,0.9988400781547795,0.999083392837607
Brier Score ↓,0.003265958914260231,,
Calibration Slope → 1,0.0171823902310241,,
Calibration Intercept → 0,-5.709724291392696,,
ECE ↓,3.1839100435762196e-05,,
Prevalence,0.0032940473123523823,,
