Metric,Point,CI_low,CI_high
AUROC (95% CI) ↑,0.8515983025462153,0.8370397035319643,0.8642078133634502
AUPRC (95% CI) ↑,0.012837119682801853,0.010602751323393389,0.01575801703543442
Sensitivity (95% CI) ↑,0.8071253071253072,0.7785806568623939,0.833121214489469
Specificity (95% CI) ↑,0.7467761686482214,0.7457130651816892,0.7477913366523377
PPV (95% CI) ↑,0.0038690528770559864,0.003586191931623505,0.004156476608305114
NPV (95% CI) ↑,0.9996853701109621,0.9996289822360807,0.9997313767385418
Brier Score ↓,0.0012074206230804185,,
Calibration Slope → 1,0.01782983481815182,,
Calibration Intercept → 0,-6.699419937840688,,
ECE ↓,3.881067910712444e-05,,
Prevalence,0.0012170907046566428,,
