Metric,Point,CI_low,CI_high
AUROC (95% CI) ↑,0.821704754949854,0.8134999112410164,0.829666569175666
AUPRC (95% CI) ↑,0.012686070649273823,0.011392706615008626,0.014238600982558757
Sensitivity (95% CI) ↑,0.8521699819168174,0.8370898051752071,0.8673268804158907
Specificity (95% CI) ↑,0.6118053573063726,0.6109282376128072,0.6127147776682339
PPV (95% CI) ↑,0.004340297765149596,0.004143373517002524,0.004536132037305271
NPV (95% CI) ↑,0.9995204069061405,0.9994677534466786,0.9995714850597278
F1 Score (95% CI) ↑,0.008636607302400382,0.008246248481851256,0.009024470875659402
Brier Score ↓,0.0019670717766924082,,
Calibration Slope → 1,0.010311760109728865,,
Calibration Intercept → 0,-6.200225545687524,,
ECE ↓,8.911295988735612e-05,,
Prevalence,0.0019818479926173474,,
