Subgroup, AUROC [CI],pos/total, Sensitivity, Specificity, n_patients_overall, n_patients_test
All patients,0.822 [0.813–0.830], 2212/1116130, 0.852, 0.612, 23358, 2672
Excluded patients,0.758 [0.730–0.786], 343/201534, 0.665, 0.722, 3116, 426
Non-excluded patients,0.834 [0.825–0.842], 1867/914320, 0.886, 0.588, 20242, 2305
Age < 70,0.824 [0.812–0.835], 1133/645537, 0.839, 0.646, 13726, 1571
Age 70-80,0.809 [0.793–0.824], 602/232581, 0.864, 0.560, 4966, 577
Age 80-85,0.823 [0.795–0.851], 231/114817, 0.857, 0.570, 2751, 313
Age > 85,0.827 [0.797–0.856], 196/101105, 0.878, 0.572, 2417, 282
Surgical ICU,0.810 [0.798–0.823], 1268/555031, 0.833, 0.613, 10463, 1390
Non-surgical ICU,0.836 [0.824–0.848], 942/560823, 0.878, 0.611, 12895, 1488
Heart surgery, 0.799 [0.782–0.813], 782/254048, 0.894, 0.499, 4792, 547
No heart surgery,0.824 [0.813–0.835], 1428/861806, 0.829, 0.645, 18566, 2125
SOFA < 6 (low severity),0.845 [0.831–0.858], 812/636401, 0.836, 0.686, 16876, 2075
SOFA 6-10 (moderate severity),0.791 [0.776–0.806], 859/337506, 0.867, 0.532, 5360, 647
SOFA >= 11 (high severity),0.769 [0.750–0.789], 539/141947, 0.852, 0.470, 1122, 173
SOFA low (tertile 1),0.848 [0.828–0.868], 405/385663, 0.807, 0.727, NA, NA
SOFA mid (tertile 2),0.826 [0.811–0.840], 726/412321, 0.864, 0.602, NA, NA
SOFA high (tertile 3),0.770 [0.756–0.784], 1079/317870, 0.861, 0.486, NA, NA
SAPS II < 40 (low severity),0.821 [0.813–0.830], 2200/1115651, 0.852, 0.612, 23347, 2672
SAPS II 40-51 (moderate severity),0.490 [0.270–0.719], 10/203, 0.900, 0.057, 11, 2
SAPS low (tertile 1),0.840 [0.820–0.862], 377/382501, 0.812, 0.723, NA, NA
SAPS mid (tertile 2),0.818 [0.804–0.830], 799/392745, 0.866, 0.590, NA, NA
SAPS high (tertile 3),0.786 [0.771–0.799], 1034/340608, 0.856, 0.512, NA, NA 
