Subgroup, AUROC [CI],pos/total, Sensitivity, Specificity
All patients,0.822 [0.813–0.830], 2212/1116130, 0.852, 0.612
Excluded patients,0.758 [0.731–0.784], 343/201534, 0.665, 0.722
Non-excluded patients,0.834 [0.826–0.842], 1867/914320, 0.886, 0.588
Age < 70,0.824 [0.812–0.835], 1133/645537, 0.839, 0.646
Age 70-80,0.809 [0.791–0.824], 602/232581, 0.864, 0.560
Age 80-85,0.823 [0.794–0.850], 231/114817, 0.857, 0.570
Age > 85,0.827 [0.798–0.856], 196/101105, 0.878, 0.572
Surgical ICU,0.810 [0.798–0.822], 1268/555031, 0.833, 0.613
Non-surgical ICU,0.836 [0.825–0.848], 942/560823, 0.878, 0.611
Heart surgery,0.799 [0.784–0.814], 782/254048, 0.894, 0.499
No heart surgery,0.824 [0.812–0.834], 1428/861806, 0.829, 0.645
SOFA < 6 (low severity),0.845 [0.833–0.858], 812/636401, 0.836, 0.686
SOFA 6-10 (moderate severity),0.791 [0.777–0.805], 859/337506, 0.867, 0.532
SOFA >= 11 (high severity),0.769 [0.748–0.789], 539/141947, 0.852, 0.470
SOFA low (tertile 1),0.848 [0.829–0.868], 405/385663, 0.807, 0.727
SOFA mid (tertile 2),0.826 [0.811–0.840], 726/412321, 0.864, 0.602
SOFA high (tertile 3),0.770 [0.755–0.784], 1079/317870, 0.861, 0.486
SAPS I < 14 (low severity),0.859 [0.808–0.900], 67/118022, 0.746, 0.803
SAPS I 14-24 (moderate severity),0.817 [0.806–0.827], 1468/795683, 0.849, 0.616
SAPS I >= 25 (high severity),0.788 [0.771–0.805], 675/202149, 0.870, 0.486
SAPS I low (tertile 1),0.840 [0.819–0.862], 377/382501, 0.812, 0.723
SAPS I mid (tertile 2),0.818 [0.804–0.830], 799/392745, 0.866, 0.590
SAPS I high (tertile 3),0.786 [0.772–0.799], 1034/340608, 0.856, 0.512
SAPS II < 40 (low severity),0.839 [0.826–0.853], 795/583589, 0.826, 0.692
SAPS II 40-51 (moderate severity),0.826 [0.809–0.842], 491/262644, 0.884, 0.571
SAPS II >= 52 (high severity),0.769 [0.755–0.785], 924/269621, 0.857, 0.478
SAPS II low (tertile 1),0.862 [0.843–0.879], 409/387188, 0.834, 0.727
SAPS II mid (tertile 2),0.809 [0.795–0.825], 694/362750, 0.849, 0.607
SAPS II high (tertile 3),0.782 [0.769–0.796], 1107/365916, 0.861, 0.495
